,Username,Title,Country,Last_Online,Joined,lastrapid,lastblitz,lastdaily,lastbullet,recordrapid,recordblitz,recordbullet,recorddaily
6009,snake71,GM,LV,1587494756,1581703768,N/A,"{'rating': 2208, 'date': 1581952127, 'rd': 207}",N/A,N/A,N/A,"{'win': 0, 'loss': 1, 'draw': 1}",N/A,N/A
6010,solingen2020,GM,NL,1587461243,1579102079,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6011,som2310,GM,PL,1587661610,1550331880,N/A,"{'rating': 2629, 'date': 1586108342, 'rd': 51}",N/A,"{'rating': 2167, 'date': 1550524303, 'rd': 168}",N/A,"{'win': 37, 'loss': 27, 'draw': 9}","{'win': 5, 'loss': 0, 'draw': 0}",N/A
6012,soulless4now,GM,XX,1587676624,1532280808,N/A,"{'rating': 2903, 'date': 1587152938, 'rd': 29}",N/A,"{'rating': 2712, 'date': 1587748210, 'rd': 18}",N/A,"{'win': 2975, 'loss': 2141, 'draw': 391}","{'win': 4051, 'loss': 2496, 'draw': 364}",N/A
6013,sourisblanche,GM,FR,1514571503,1339791085,N/A,"{'rating': 2400, 'date': 1502024412, 'rd': 87}",N/A,N/A,N/A,"{'win': 6, 'loss': 18, 'draw': 0}",N/A,N/A
6014,spartakus1975,GM,UA,1587667132,1380221179,"{'rating': 2211, 'date': 1543007886, 'rd': 226}","{'rating': 2739, 'date': 1587662549, 'rd': 59}",N/A,"{'rating': 2283, 'date': 1586727428, 'rd': 35}","{'win': 15, 'loss': 0, 'draw': 0}","{'win': 1081, 'loss': 655, 'draw': 160}","{'win': 3914, 'loss': 2979, 'draw': 315}",N/A
6015,spasskypy,GM,PY,1484691963,1409923689,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6016,speedskater,GM,US,1587691386,1230411813,"{'rating': 2488, 'date': 1553035369, 'rd': 232}","{'rating': 2774, 'date': 1587527573, 'rd': 21}","{'rating': 1240, 'date': 1452358713, 'rd': 242}","{'rating': 2507, 'date': 1587333627, 'rd': 29}","{'win': 10, 'loss': 2, 'draw': 3}","{'win': 1564, 'loss': 965, 'draw': 314}","{'win': 1020, 'loss': 597, 'draw': 113}","{'win': 4, 'loss': 17, 'draw': 1, 'time_per_move': 6505, 'timeout_percent': 0}"
6017,spicycaterpillar,GM,US,1587699918,1542762877,"{'rating': 2673, 'date': 1587720434, 'rd': 138}","{'rating': 3004, 'date': 1587721844, 'rd': 27}",N/A,"{'rating': 2780, 'date': 1587716385, 'rd': 27}","{'win': 3, 'loss': 4, 'draw': 1}","{'win': 1026, 'loss': 666, 'draw': 200}","{'win': 662, 'loss': 597, 'draw': 90}",N/A
6018,spiritofwonder,GM,CA,1587630831,1550686146,N/A,"{'rating': 2953, 'date': 1587750473, 'rd': 35}",N/A,"{'rating': 2719, 'date': 1586499627, 'rd': 50}",N/A,"{'win': 351, 'loss': 337, 'draw': 71}","{'win': 261, 'loss': 219, 'draw': 19}",N/A
6019,srinavasan,GM,IN,1577039196,1575704516,N/A,"{'rating': 3050, 'date': 1576969040, 'rd': 34}",N/A,"{'rating': 2876, 'date': 1576963352, 'rd': 41}",N/A,"{'win': 83, 'loss': 21, 'draw': 17}","{'win': 62, 'loss': 21, 'draw': 5}",N/A
6020,srmiguel99,GM,ES,1580849879,1443960183,N/A,"{'rating': 2688, 'date': 1580851376, 'rd': 99}",N/A,"{'rating': 2569, 'date': 1578335795, 'rd': 70}",N/A,"{'win': 107, 'loss': 57, 'draw': 23}","{'win': 170, 'loss': 102, 'draw': 20}",N/A
6021,ss003,GM,UA,1587159987,1563825236,"{'rating': 2500, 'date': 1564951064, 'rd': 180}","{'rating': 2519, 'date': 1584600321, 'rd': 76}",N/A,"{'rating': 2500, 'date': 1567487545, 'rd': 262}","{'win': 1, 'loss': 2, 'draw': 0}","{'win': 269, 'loss': 158, 'draw': 37}","{'win': 1, 'loss': 0, 'draw': 0}",N/A
6022,stanislavnovikov,GM,RU,1584626216,1511731786,N/A,"{'rating': 2685, 'date': 1575490811, 'rd': 48}",N/A,"{'rating': 2301, 'date': 1547851057, 'rd': 105}",N/A,"{'win': 152, 'loss': 128, 'draw': 46}","{'win': 9, 'loss': 3, 'draw': 0}",N/A
6023,stanyga,GM,IN,1587546057,1534868967,N/A,"{'rating': 2711, 'date': 1587495031, 'rd': 46}",N/A,"{'rating': 2550, 'date': 1556181532, 'rd': 119}",N/A,"{'win': 64, 'loss': 31, 'draw': 13}","{'win': 8, 'loss': 0, 'draw': 0}",N/A
6024,starmatecc,GM,PH,1587576433,1247317779,"{'rating': 1215, 'date': 1586141402, 'rd': 135}","{'rating': 2496, 'date': 1587085687, 'rd': 53}","{'rating': 1095, 'date': 1573573204, 'rd': 116}","{'rating': 2226, 'date': 1571236051, 'rd': 84}","{'win': 7, 'loss': 34, 'draw': 1}","{'win': 822, 'loss': 700, 'draw': 139}","{'win': 840, 'loss': 557, 'draw': 73}","{'win': 8, 'loss': 21, 'draw': 1, 'time_per_move': 170774, 'timeout_percent': 100}"
6025,stephendedalus83,GM,IE,1587688104,1530534976,N/A,"{'rating': 2801, 'date': 1587733371, 'rd': 30}",N/A,N/A,N/A,"{'win': 611, 'loss': 503, 'draw': 167}",N/A,N/A
6026,storne89,GM,RS,1587672119,1365952114,N/A,"{'rating': 2585, 'date': 1587671029, 'rd': 27}",N/A,"{'rating': 2536, 'date': 1587672084, 'rd': 64}",N/A,"{'win': 706, 'loss': 622, 'draw': 134}","{'win': 259, 'loss': 205, 'draw': 24}",N/A
6027,stripunsky-nj,GM,US,1509323606,1346271868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6028,stuwdrey,GM,RU,1587569569,1408220219,N/A,"{'rating': 2650, 'date': 1586181865, 'rd': 56}",N/A,N/A,N/A,"{'win': 1223, 'loss': 967, 'draw': 281}",N/A,N/A
6029,sumohawk,GM,GB,1587396757,1352899997,"{'rating': 2573, 'date': 1508168839, 'rd': 200}","{'rating': 2341, 'date': 1585581051, 'rd': 144}","{'rating': 2047, 'date': 1560520099, 'rd': 344}","{'rating': 2212, 'date': 1559770076, 'rd': 177}","{'win': 28, 'loss': 3, 'draw': 2}","{'win': 446, 'loss': 158, 'draw': 24}","{'win': 89, 'loss': 32, 'draw': 2}","{'win': 3, 'loss': 1, 'draw': 0, 'time_per_move': 205402, 'timeout_percent': 0}"
6030,sundarkidambi,GM,IN,1587702010,1285080099,"{'rating': 1436, 'date': 1580476109, 'rd': 311}","{'rating': 2067, 'date': 1587306212, 'rd': 110}",N/A,"{'rating': 1492, 'date': 1584441208, 'rd': 262}","{'win': 0, 'loss': 0, 'draw': 1}","{'win': 13, 'loss': 2, 'draw': 1}","{'win': 1, 'loss': 0, 'draw': 0}",N/A
6031,sun_flower_chess,GM,VN,1587692704,1398961336,N/A,"{'rating': 2611, 'date': 1587778541, 'rd': 19}",N/A,"{'rating': 2346, 'date': 1553428674, 'rd': 170}",N/A,"{'win': 4805, 'loss': 4506, 'draw': 456}","{'win': 259, 'loss': 212, 'draw': 9}",N/A
6032,superblysse,GM,US,1586612612,1383071175,"{'rating': 2386, 'date': 1586481757, 'rd': 226}",N/A,N/A,N/A,"{'win': 0, 'loss': 1, 'draw': 1}",N/A,N/A,N/A
6033,superchess02,GM,IN,1587701407,1526567547,"{'rating': 2077, 'date': 1587740140, 'rd': 271}","{'rating': 2785, 'date': 1587050419, 'rd': 43}","{'rating': 1900, 'date': 1577466714, 'rd': 226}","{'rating': 2620, 'date': 1587703477, 'rd': 29}","{'win': 0, 'loss': 1, 'draw': 1}","{'win': 402, 'loss': 260, 'draw': 96}","{'win': 1635, 'loss': 1273, 'draw': 177}","{'win': 2, 'loss': 0, 'draw': 0, 'time_per_move': 50750, 'timeout_percent': 0}"
6034,superetual,GM,ES,1587520224,1464645314,N/A,"{'rating': 2505, 'date': 1583160674, 'rd': 53}",N/A,"{'rating': 2506, 'date': 1585440856, 'rd': 32}",N/A,"{'win': 92, 'loss': 45, 'draw': 9}","{'win': 344, 'loss': 237, 'draw': 48}",N/A
6035,supertigre,GM,MX,1586900273,1291883115,N/A,"{'rating': 2832, 'date': 1565806406, 'rd': 35}","{'rating': 767, 'date': 1529786409, 'rd': 315}","{'rating': 2753, 'date': 1565808840, 'rd': 38}",N/A,"{'win': 705, 'loss': 380, 'draw': 100}","{'win': 878, 'loss': 524, 'draw': 105}","{'win': 0, 'loss': 1, 'draw': 0, 'time_per_move': 328264, 'timeout_percent': 0}"
6036,suryaganguly,GM,IN,1587634187,1472053046,N/A,"{'rating': 2727, 'date': 1587626638, 'rd': 41}",N/A,"{'rating': 2537, 'date': 1587738341, 'rd': 21}",N/A,"{'win': 217, 'loss': 162, 'draw': 30}","{'win': 244, 'loss': 103, 'draw': 19}",N/A
6037,susanpolgar,GM,US,1549569138,1284133640,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6038,swapchess90,GM,IN,1587699218,1472965545,N/A,"{'rating': 2703, 'date': 1587642515, 'rd': 44}",N/A,"{'rating': 2577, 'date': 1585375752, 'rd': 48}",N/A,"{'win': 1256, 'loss': 965, 'draw': 205}","{'win': 2783, 'loss': 2058, 'draw': 310}",N/A
6039,swayamsm,GM,IN,1587571619,1248883729,N/A,"{'rating': 2674, 'date': 1587568203, 'rd': 38}",N/A,"{'rating': 2642, 'date': 1587204153, 'rd': 44}",N/A,"{'win': 420, 'loss': 367, 'draw': 76}","{'win': 981, 'loss': 939, 'draw': 111}",N/A
6040,swisspower96,GM,CH,1587636258,1486450347,N/A,"{'rating': 2635, 'date': 1587635537, 'rd': 29}",N/A,"{'rating': 2387, 'date': 1586297015, 'rd': 80}",N/A,"{'win': 1251, 'loss': 1206, 'draw': 232}","{'win': 16, 'loss': 6, 'draw': 1}",N/A
6041,sxsw2,GM,US,1552255691,1551814895,"{'rating': 2468, 'date': 1552255422, 'rd': 198}","{'rating': 2238, 'date': 1552234196, 'rd': 290}",N/A,"{'rating': 2156, 'date': 1552233549, 'rd': 253}","{'win': 2, 'loss': 1, 'draw': 1}","{'win': 0, 'loss': 1, 'draw': 0}","{'win': 0, 'loss': 1, 'draw': 0}",N/A
